               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.058237,           0.0060957,                   0,           0.0067221,             0.27009,           0.0030155,          0.00045577,            0.071214,           0.0019812,                   0,            0.000288,            0.000288,            0.045788
                   1,            0.043652,           0.0070642,                   0,            0.095558,             0.10769,            0.027166,           0.0048879,            0.061796,           0.0026412,                   0,          0.00060265,          0.00060265,            0.041103
                   2,            0.037978,           0.0072302,                   0,            0.047026,             0.15214,            0.014458,            0.002523,            0.056473,           0.0037326,                   0,          0.00091167,          0.00091167,            0.036412
                   3,            0.035828,           0.0070358,                   0,             0.08513,             0.05812,             0.02023,           0.0037723,            0.053376,           0.0024105,                   0,           0.0012151,           0.0012151,            0.031715
                   4,            0.033642,           0.0064772,                   0,            0.050856,            0.042735,            0.011156,           0.0019572,            0.052851,           0.0027048,                   0,           0.0015128,           0.0015128,            0.027013
                   5,            0.032504,           0.0060712,                   0,             0.13185,             0.21133,            0.055039,            0.013428,            0.047338,           0.0046414,                   0,           0.0018049,           0.0018049,            0.022305
                   6,            0.031138,           0.0057055,                   0,             0.11265,             0.23248,            0.057847,            0.016654,            0.048008,           0.0068011,                   0,           0.0020914,           0.0020914,            0.017591
                   7,            0.030515,           0.0055655,                   0,             0.30692,             0.28718,             0.17945,            0.066354,            0.037867,            0.003874,                   0,           0.0023723,           0.0023723,            0.012872
                   8,            0.030178,           0.0053973,                   0,             0.34867,             0.29231,             0.21235,            0.070952,            0.038873,           0.0043248,                   0,           0.0026475,           0.0026475,           0.0081475
                   9,            0.029447,           0.0052454,                   0,              0.2996,             0.33489,             0.20274,            0.076707,            0.039405,           0.0046455,                   0,           0.0029171,           0.0029171,           0.0034171
                  10,            0.028822,           0.0052938,                   0,             0.37293,             0.36239,             0.29349,              0.1134,             0.03744,           0.0035779,                   0,           0.0029184,           0.0029184,           0.0029184
                  11,             0.02812,           0.0050166,                   0,             0.41848,             0.37265,             0.29864,             0.11346,            0.034605,           0.0041517,                   0,           0.0029184,           0.0029184,           0.0029184
                  12,            0.027896,           0.0050131,                   0,             0.46827,             0.29915,             0.29825,             0.11037,            0.035745,           0.0047673,                   0,           0.0028902,           0.0028902,           0.0028902
                  13,            0.026632,           0.0050482,                   0,             0.48505,             0.39487,             0.38332,             0.16442,            0.032996,            0.003089,                   0,           0.0028621,           0.0028621,           0.0028621
                  14,            0.026592,           0.0049099,                   0,             0.34893,             0.40684,             0.30712,             0.12957,            0.035504,           0.0026946,                   0,           0.0028339,           0.0028339,           0.0028339
                  15,            0.026509,           0.0048739,                   0,             0.48099,             0.38974,             0.37804,             0.16876,            0.032869,           0.0023274,                   0,           0.0028058,           0.0028058,           0.0028058
                  16,            0.026276,           0.0049218,                   0,             0.52283,             0.38291,             0.39821,             0.17037,            0.033892,            0.002559,                   0,           0.0027776,           0.0027776,           0.0027776
                  17,              0.0258,           0.0048636,                   0,             0.38813,             0.36923,             0.33352,             0.13802,            0.031144,           0.0033021,                   0,           0.0027494,           0.0027494,           0.0027494
                  18,            0.025307,           0.0047784,                   0,             0.59285,             0.43077,             0.46963,             0.21462,            0.028725,           0.0022896,                   0,           0.0027213,           0.0027213,           0.0027213
                  19,            0.025376,             0.00474,                   0,             0.51605,             0.45812,             0.46016,             0.22848,            0.028076,           0.0022162,                   0,           0.0026931,           0.0026931,           0.0026931
                  20,            0.024651,           0.0046308,                   0,             0.55777,             0.41538,             0.42981,             0.18907,            0.031116,           0.0023327,                   0,            0.002665,            0.002665,            0.002665
                  21,            0.025162,           0.0047293,                   0,             0.57572,             0.39432,             0.43761,             0.20912,            0.028203,           0.0022187,                   0,           0.0026368,           0.0026368,           0.0026368
                  22,            0.024487,           0.0046267,                   0,             0.58898,             0.50085,             0.50783,             0.22552,            0.030172,           0.0020452,                   0,           0.0026086,           0.0026086,           0.0026086
