               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.06155,           0.0060266,            0.028773,                   0,                   0,                   0,                   0,            0.028143,           0.0033274,            0.018454,             0.00016,             0.00016,             0.04766
                   1,            0.046413,           0.0067028,            0.027526,          8.9913e-05,            0.044872,          8.7653e-05,          1.5623e-05,            0.031083,           0.0030517,            0.018768,           0.0003489,           0.0003489,            0.044849
                   2,             0.03872,           0.0070592,            0.027009,             0.61562,            0.055861,          0.00048546,          9.3218e-05,            0.031406,           0.0029844,            0.018885,          0.00053443,          0.00053443,            0.042034
                   3,            0.035151,           0.0069422,            0.026837,          0.00030048,             0.14698,          0.00057596,          0.00010059,            0.037394,           0.0023211,            0.019426,          0.00071657,          0.00071657,            0.039217
                   4,            0.032099,           0.0067261,            0.026761,              0.4241,            0.062271,           0.0021054,          0.00044452,             0.03695,           0.0028481,            0.019505,          0.00089533,          0.00089533,            0.036395
                   5,            0.029717,           0.0064669,            0.026647,            0.040377,             0.20366,           0.0042101,          0.00057941,            0.038312,           0.0036284,            0.019425,           0.0010707,           0.0010707,            0.033571
                   6,            0.029012,           0.0060099,            0.026616,            0.016251,             0.18059,            0.007681,           0.0018525,            0.033363,           0.0039344,            0.018852,           0.0012427,           0.0012427,            0.030743
                   7,            0.026784,           0.0057158,            0.026479,             0.21884,             0.12596,            0.019352,           0.0082238,            0.028252,           0.0028532,            0.018162,           0.0014114,           0.0014114,            0.027911
                   8,            0.026046,           0.0053566,            0.026361,             0.12801,             0.14951,            0.013611,            0.004086,            0.033247,           0.0034958,            0.018478,           0.0015766,           0.0015766,            0.025077
                   9,            0.025915,           0.0049993,            0.026357,             0.33296,             0.30522,            0.058541,             0.02445,            0.022468,           0.0053781,            0.017974,           0.0017385,           0.0017385,            0.022238
                  10,            0.023788,           0.0048388,            0.026155,             0.14092,             0.59803,              0.0632,            0.025104,            0.017017,           0.0053264,             0.01735,            0.001897,            0.001897,            0.019397
                  11,            0.024855,           0.0047684,            0.026179,             0.22495,             0.40591,            0.064214,            0.024581,            0.017904,           0.0072569,            0.017419,           0.0020521,           0.0020521,            0.016552
                  12,            0.021833,           0.0046436,            0.025985,             0.33665,             0.14248,            0.096615,            0.042144,            0.015884,           0.0059137,            0.017118,           0.0022038,           0.0022038,            0.013704
                  13,            0.022469,           0.0043445,            0.025926,             0.29697,             0.17472,            0.095162,            0.052925,            0.016173,           0.0030302,            0.017009,           0.0023522,           0.0023522,            0.010852
                  14,            0.023249,           0.0046164,            0.025857,             0.21962,             0.35488,            0.061159,            0.019221,            0.020819,           0.0034125,             0.01809,           0.0024971,           0.0024971,           0.0079971
                  15,            0.021664,           0.0043615,            0.025766,              0.1657,             0.62933,             0.10382,            0.037083,            0.017867,           0.0022188,            0.017019,           0.0026387,           0.0026387,           0.0051387
                  16,            0.020638,           0.0043368,            0.025495,             0.20328,             0.48799,             0.11239,            0.056959,            0.015201,           0.0021771,            0.016895,           0.0027494,           0.0027494,           0.0027494
                  17,            0.022695,           0.0043044,            0.025443,             0.19248,             0.44939,            0.095319,            0.052861,            0.012716,           0.0057184,            0.017644,           0.0027494,           0.0027494,           0.0027494
                  18,             0.02072,           0.0040855,            0.025275,             0.37143,             0.40915,             0.17059,             0.10222,            0.013487,           0.0014333,            0.016107,           0.0027213,           0.0027213,           0.0027213
                  19,            0.020348,           0.0039603,            0.024984,             0.38658,             0.36217,             0.17321,             0.10793,            0.012818,           0.0018624,            0.016083,           0.0026931,           0.0026931,           0.0026931
                  20,            0.020011,           0.0039652,            0.024902,             0.13523,             0.47684,             0.16235,            0.065024,            0.017613,           0.0014007,            0.016332,            0.002665,            0.002665,            0.002665
                  21,            0.019981,           0.0039306,            0.024661,            0.092481,             0.67837,             0.19015,            0.091199,             0.01463,           0.0015005,            0.016007,           0.0026368,           0.0026368,           0.0026368
                  22,            0.018841,           0.0038481,            0.024377,             0.18668,             0.51992,              0.2189,             0.13192,            0.011686,            0.001211,            0.015775,           0.0026086,           0.0026086,           0.0026086
                  23,            0.018341,           0.0036947,            0.024152,             0.16669,             0.70317,             0.24576,             0.17038,             0.01017,           0.0012933,            0.015664,           0.0025805,           0.0025805,           0.0025805
                  24,            0.019111,           0.0037254,            0.023748,             0.17141,             0.66573,             0.25843,              0.1663,            0.011539,           0.0012773,            0.015087,           0.0025523,           0.0025523,           0.0025523
                  25,            0.017911,            0.003589,            0.023441,             0.28898,             0.58207,              0.2747,             0.18724,            0.010915,           0.0012136,            0.014552,           0.0025242,           0.0025242,           0.0025242
                  26,            0.018691,           0.0036605,            0.023202,             0.18581,             0.57674,             0.25789,             0.14446,            0.013143,           0.0012223,            0.014623,            0.002496,            0.002496,            0.002496
