               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.067316,            0.025452,            0.068786,           0.0019325,            0.029533,           0.0030204,          0.00030204,            0.044956,            0.010222,            0.054858,           0.0032982,           0.0032982,            0.070316
                   1,            0.051787,            0.024374,            0.068779,            0.039957,            0.035714,           0.0016479,          0.00041205,             0.04129,            0.011591,            0.052711,           0.0066139,           0.0066139,            0.040298
                   2,            0.048815,            0.023866,            0.068677,             0.96154,           0.0089068,              0.0185,           0.0056429,            0.044562,           0.0093313,            0.051912,           0.0099118,           0.0099118,            0.010263
                   3,            0.046017,            0.022806,            0.066393,             0.25903,           0.0096154,            0.011799,           0.0043582,            0.037345,            0.011598,            0.051493,             0.00992,             0.00992,             0.00992
                   4,            0.043085,             0.02083,             0.06528,            0.067915,             0.13819,            0.050456,            0.017023,            0.035313,             0.01008,            0.051055,             0.00992,             0.00992,             0.00992
                   5,            0.040841,            0.019799,            0.065352,            0.050684,             0.25117,            0.073502,            0.034396,            0.025312,           0.0092431,            0.048798,           0.0098933,           0.0098933,           0.0098933
                   6,             0.04046,            0.019424,            0.066258,            0.083327,             0.29266,             0.11359,            0.050466,            0.025887,           0.0081214,             0.04651,           0.0098667,           0.0098667,           0.0098667
                   7,            0.035567,             0.01739,            0.063153,             0.25256,              0.4284,             0.16165,            0.097706,            0.020576,           0.0071781,            0.044056,             0.00984,             0.00984,             0.00984
                   8,            0.033758,            0.017044,            0.061219,             0.15951,             0.42306,             0.17486,            0.082781,            0.022975,           0.0056822,            0.042542,           0.0098133,           0.0098133,           0.0098133
                   9,             0.03392,            0.015968,            0.061856,             0.46364,             0.22937,             0.18505,              0.1088,             0.02049,           0.0063711,            0.042285,           0.0097867,           0.0097867,           0.0097867
                  10,            0.032996,            0.015718,            0.060753,             0.41199,             0.30337,             0.22459,             0.13886,            0.020535,           0.0056474,            0.039859,             0.00976,             0.00976,             0.00976
                  11,            0.030726,            0.015299,            0.056542,             0.36296,             0.49795,             0.30921,              0.2039,            0.017069,           0.0054967,            0.040254,           0.0097333,           0.0097333,           0.0097333
                  12,            0.034574,             0.01486,            0.060303,             0.27377,              0.4351,             0.30031,              0.2092,            0.016687,           0.0048583,            0.036101,           0.0097067,           0.0097067,           0.0097067
                  13,            0.031945,            0.014999,            0.056763,             0.13849,             0.61203,             0.30475,             0.21129,            0.018304,           0.0049873,            0.035247,             0.00968,             0.00968,             0.00968
                  14,            0.033041,            0.015664,             0.05905,             0.36523,             0.38506,             0.31285,             0.17834,            0.020285,           0.0059815,            0.036654,           0.0096533,           0.0096533,           0.0096533
                  15,              0.0311,            0.014431,            0.056133,             0.23295,             0.39302,             0.30685,             0.17582,            0.021817,           0.0055231,            0.037927,           0.0096267,           0.0096267,           0.0096267
                  16,            0.031837,            0.014671,            0.058199,             0.31812,             0.42611,             0.35703,             0.24839,            0.016703,           0.0052398,            0.033396,              0.0096,              0.0096,              0.0096
                  17,            0.031689,            0.014244,             0.05705,             0.40978,             0.57593,             0.45297,             0.31299,            0.016398,           0.0045955,             0.03159,           0.0095733,           0.0095733,           0.0095733
                  18,              0.0285,            0.013484,             0.05196,             0.41119,             0.53539,             0.44498,             0.30507,            0.016882,           0.0048952,            0.031807,           0.0095467,           0.0095467,           0.0095467
                  19,            0.029608,            0.013529,             0.05214,             0.50389,             0.47806,              0.4901,             0.33645,            0.016342,           0.0045601,            0.028227,             0.00952,             0.00952,             0.00952
                  20,            0.028511,            0.012866,            0.049855,             0.28267,              0.7749,             0.49115,             0.32345,            0.018653,           0.0044513,            0.028459,           0.0094933,           0.0094933,           0.0094933
                  21,            0.028642,            0.013197,            0.051201,              0.3883,             0.62808,             0.58355,             0.37239,            0.018492,           0.0040219,            0.027905,           0.0094667,           0.0094667,           0.0094667
                  22,            0.029157,            0.012702,            0.050386,              0.5348,             0.58782,             0.58701,             0.36881,             0.01788,           0.0039498,            0.026961,             0.00944,             0.00944,             0.00944
                  23,            0.028115,            0.012481,              0.0478,             0.35815,             0.56948,             0.50281,             0.30435,             0.01738,           0.0044231,            0.027908,           0.0094133,           0.0094133,           0.0094133
                  24,             0.02853,            0.012818,            0.048812,             0.46098,             0.63084,             0.61078,              0.3937,            0.017822,           0.0045304,            0.025819,           0.0093867,           0.0093867,           0.0093867
                  25,            0.028126,            0.012378,              0.0483,             0.41008,              0.6615,             0.57343,             0.38472,            0.016814,            0.004166,            0.026042,             0.00936,             0.00936,             0.00936
                  26,            0.026643,            0.012566,            0.046809,             0.53076,             0.56216,             0.61298,             0.43664,            0.016236,           0.0040015,            0.024784,           0.0093333,           0.0093333,           0.0093333
                  27,            0.027363,            0.012759,            0.045661,             0.66732,             0.56717,             0.66085,             0.41926,            0.018729,           0.0037651,            0.024476,           0.0093067,           0.0093067,           0.0093067
                  28,            0.027249,            0.012461,            0.047077,             0.66878,             0.56456,             0.65622,             0.43448,            0.017155,           0.0042466,            0.022119,             0.00928,             0.00928,             0.00928
                  29,             0.03104,             0.01299,            0.049198,             0.49528,             0.72647,             0.66881,             0.46389,            0.016752,           0.0044935,            0.024429,           0.0092533,           0.0092533,           0.0092533
                  30,            0.027719,            0.012777,            0.044356,             0.50736,             0.77964,             0.69295,             0.51085,             0.01607,           0.0038592,            0.022001,           0.0092267,           0.0092267,           0.0092267
                  31,            0.028489,            0.012518,            0.043484,             0.46615,             0.70432,             0.69474,             0.43595,            0.015853,           0.0042391,            0.020618,              0.0092,              0.0092,              0.0092
