               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.0608,           0.0060366,            0.028802,          0.00019926,            0.069673,          0.00027499,          5.2849e-05,            0.039734,           0.0032854,            0.019162,           0.0015832,           0.0015832,            0.026846
                   1,            0.049521,           0.0066472,            0.028021,             0.92357,           0.0096154,          0.00047849,          9.4534e-05,            0.025377,           0.0035899,            0.018883,           0.0031738,           0.0031738,            0.003437
                   2,            0.041407,           0.0067891,            0.027505,          0.00090559,             0.14254,          0.00096925,          0.00022337,            0.021844,           0.0029513,            0.018625,           0.0031812,           0.0031812,           0.0031812
                   3,            0.036135,           0.0067008,            0.027296,           0.0024393,             0.31604,           0.0028032,          0.00099664,            0.021136,           0.0026527,            0.018617,           0.0031812,           0.0031812,           0.0031812
                   4,            0.033144,           0.0065914,             0.02729,           0.0051093,             0.32788,            0.010104,           0.0042002,            0.016486,           0.0026992,             0.01844,           0.0031718,           0.0031718,           0.0031718
                   5,            0.029694,           0.0065474,            0.027059,             0.10267,            0.065385,            0.038105,             0.02106,            0.014172,           0.0025145,            0.018251,           0.0031625,           0.0031625,           0.0031625
                   6,            0.028224,           0.0060604,            0.027098,            0.028853,              0.1612,            0.059056,            0.034131,            0.016492,           0.0024053,            0.018219,           0.0031531,           0.0031531,           0.0031531
                   7,            0.026796,           0.0060446,            0.026984,             0.03944,             0.25198,            0.070347,             0.04431,            0.013049,           0.0022259,            0.018239,           0.0031437,           0.0031437,           0.0031437
                   8,            0.025386,           0.0058289,            0.026926,            0.041071,             0.32439,            0.086597,            0.048095,            0.014801,           0.0019742,            0.018247,           0.0031343,           0.0031343,           0.0031343
                   9,            0.024592,           0.0055676,            0.026948,            0.040335,             0.58022,            0.099771,            0.070303,            0.011866,           0.0019001,            0.018107,           0.0031249,           0.0031249,           0.0031249
                  10,            0.023913,            0.005454,            0.026967,            0.045762,             0.45752,             0.10907,            0.068485,             0.01304,           0.0017836,            0.018109,           0.0031155,           0.0031155,           0.0031155
                  11,            0.023005,           0.0051495,            0.026867,            0.050273,             0.41213,            0.099457,            0.069331,             0.01091,           0.0016285,            0.017927,           0.0031061,           0.0031061,           0.0031061
                  12,            0.021945,           0.0052396,            0.026666,             0.14838,              0.3517,             0.10932,            0.080523,            0.010542,           0.0015614,            0.017967,           0.0030967,           0.0030967,           0.0030967
                  13,            0.021837,           0.0048847,             0.02644,               0.045,             0.55973,             0.11515,            0.088568,            0.010495,           0.0015817,            0.017912,           0.0030874,           0.0030874,           0.0030874
                  14,            0.021131,           0.0048946,            0.026362,             0.16303,             0.35968,             0.12822,            0.092591,            0.010406,           0.0014997,            0.017903,            0.003078,            0.003078,            0.003078
                  15,            0.021067,           0.0047871,            0.026729,            0.051437,             0.50096,             0.12504,             0.08614,            0.010159,           0.0013864,            0.017812,           0.0030686,           0.0030686,           0.0030686
                  16,            0.020565,           0.0048189,             0.02676,            0.071524,             0.52142,             0.12132,            0.089409,           0.0086251,           0.0013402,            0.017762,           0.0030592,           0.0030592,           0.0030592
                  17,            0.019962,           0.0046919,             0.02673,            0.059653,             0.53898,             0.12786,            0.095955,            0.010467,           0.0013276,            0.017841,           0.0030498,           0.0030498,           0.0030498
                  18,            0.019854,           0.0045608,            0.026561,            0.062579,             0.69198,             0.14169,              0.1134,           0.0091179,           0.0012843,            0.017786,           0.0030404,           0.0030404,           0.0030404
                  19,            0.019972,           0.0044529,             0.02659,            0.065589,             0.71116,             0.13269,            0.099821,            0.009123,           0.0012149,            0.017801,            0.003031,            0.003031,            0.003031
                  20,            0.019798,           0.0046019,            0.026478,            0.068072,             0.65656,             0.16429,             0.11547,            0.010653,           0.0012042,             0.01776,           0.0030217,           0.0030217,           0.0030217
                  21,            0.018932,           0.0043157,            0.026634,            0.070619,             0.67267,              0.1478,             0.10356,           0.0098491,            0.001164,             0.01781,           0.0030123,           0.0030123,           0.0030123
                  22,            0.018885,           0.0043524,            0.026651,            0.060621,             0.78306,             0.14462,            0.096738,            0.010455,           0.0011952,            0.017761,           0.0030029,           0.0030029,           0.0030029
                  23,            0.018908,           0.0042727,            0.026598,            0.073475,             0.60562,              0.1639,             0.12018,            0.010556,           0.0010876,            0.017726,           0.0029935,           0.0029935,           0.0029935
                  24,            0.018353,            0.004303,            0.026609,             0.12502,              0.5589,             0.17214,             0.12759,           0.0093624,           0.0010777,            0.017691,           0.0029841,           0.0029841,           0.0029841
                  25,            0.017939,           0.0042457,            0.026478,            0.076763,             0.59504,              0.1708,             0.11861,           0.0094115,           0.0011305,            0.017654,           0.0029747,           0.0029747,           0.0029747
                  26,             0.01807,           0.0040554,             0.02636,            0.077802,             0.81348,             0.17236,             0.14011,           0.0073314,            0.001057,             0.01761,           0.0029653,           0.0029653,           0.0029653
                  27,             0.01789,            0.004113,            0.026489,            0.078206,             0.71485,             0.18429,             0.13038,           0.0096889,           0.0010768,            0.017552,           0.0029559,           0.0029559,           0.0029559
                  28,            0.017948,           0.0040925,            0.026366,            0.077215,              0.7848,             0.17851,             0.13523,           0.0086817,           0.0010102,            0.017549,           0.0029466,           0.0029466,           0.0029466
                  29,            0.017479,           0.0039505,            0.026347,            0.077132,             0.76947,             0.18917,             0.14911,           0.0079338,           0.0010005,            0.017631,           0.0029372,           0.0029372,           0.0029372
                  30,            0.017458,           0.0041204,            0.026506,            0.086945,             0.72144,              0.2056,             0.16206,           0.0078941,          0.00096011,            0.017609,           0.0029278,           0.0029278,           0.0029278
                  31,            0.016984,           0.0039413,            0.026282,            0.094534,             0.64598,             0.21274,             0.16742,           0.0074431,           0.0009777,             0.01756,           0.0029184,           0.0029184,           0.0029184
                  32,            0.016809,           0.0038943,            0.026319,             0.10661,             0.58777,             0.19193,             0.14884,           0.0079281,           0.0010254,              0.0175,            0.002909,            0.002909,            0.002909
                  33,            0.016884,             0.00378,             0.02628,            0.090433,              0.7502,             0.21545,              0.1708,           0.0081668,          0.00092326,            0.017545,           0.0028996,           0.0028996,           0.0028996
                  34,            0.017165,           0.0039839,            0.026328,            0.075943,             0.84822,             0.19463,             0.14244,           0.0093561,          0.00092131,            0.017524,           0.0028902,           0.0028902,           0.0028902
                  35,            0.016739,           0.0038491,            0.026185,            0.083983,             0.77024,             0.21999,             0.17154,           0.0073862,          0.00090936,            0.017509,           0.0028809,           0.0028809,           0.0028809
                  36,            0.016764,            0.003718,            0.026077,             0.08229,             0.76085,             0.21097,             0.15094,            0.008593,          0.00094701,            0.017527,           0.0028715,           0.0028715,           0.0028715
                  37,            0.016377,            0.003761,            0.026194,             0.14089,             0.58427,             0.18759,             0.13963,           0.0074935,          0.00088996,            0.017478,           0.0028621,           0.0028621,           0.0028621
                  38,            0.016591,           0.0037451,            0.026091,             0.13628,             0.63947,             0.19594,             0.15288,           0.0084276,           0.0008809,            0.017453,           0.0028527,           0.0028527,           0.0028527
                  39,            0.016112,           0.0037205,            0.026082,             0.10242,              0.6601,             0.20981,             0.16362,           0.0071651,          0.00088152,            0.017407,           0.0028433,           0.0028433,           0.0028433
                  40,            0.015906,           0.0036332,            0.026105,             0.11575,             0.69492,             0.22592,             0.17493,           0.0079874,          0.00090955,            0.017368,           0.0028339,           0.0028339,           0.0028339
                  41,            0.016399,            0.003692,            0.026152,            0.098967,             0.69846,             0.21446,             0.16592,           0.0073091,          0.00085669,            0.017304,           0.0028245,           0.0028245,           0.0028245
                  42,            0.015984,           0.0036942,            0.025885,             0.10015,             0.63321,             0.23055,             0.18562,           0.0068099,          0.00086668,            0.017327,           0.0028151,           0.0028151,           0.0028151
                  43,             0.01587,           0.0035837,            0.025847,            0.087759,             0.65265,             0.21355,             0.16107,            0.007929,          0.00087788,            0.017365,           0.0028058,           0.0028058,           0.0028058
