               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098689,            0.023006,                   0,             0.13458,             0.16068,            0.065656,            0.019157,            0.083559,            0.012396,                   0,            0.001559,            0.001559,              0.0272
                   1,            0.065416,            0.022702,                   0,             0.34816,             0.28718,             0.25361,            0.082752,            0.067715,            0.010884,                   0,            0.003159,            0.003159,              0.0038
                   2,             0.05266,            0.019666,                   0,             0.51316,             0.42564,             0.41084,             0.13608,            0.055767,           0.0098405,                   0,           0.0031999,           0.0031999,           0.0031999
                   3,            0.045784,            0.018149,                   0,             0.54472,             0.49698,             0.48672,             0.19709,            0.053206,           0.0096418,                   0,           0.0031995,           0.0031995,           0.0031995
                   4,            0.041734,            0.017637,                   0,             0.60673,               0.538,             0.56742,             0.26037,            0.050298,           0.0095199,                   0,           0.0031989,           0.0031989,           0.0031989
                   5,             0.04036,            0.016614,                   0,             0.69561,             0.57436,             0.63792,             0.29683,            0.046814,           0.0085924,                   0,           0.0031981,           0.0031981,           0.0031981
                   6,            0.039059,             0.01653,                   0,             0.71896,             0.55214,             0.62052,             0.29466,            0.047452,           0.0085502,                   0,            0.003197,            0.003197,            0.003197
                   7,            0.038011,            0.015668,                   0,             0.76186,             0.54688,             0.63896,             0.30841,            0.048748,           0.0081799,                   0,           0.0031956,           0.0031956,           0.0031956
                   8,            0.037093,            0.015885,                   0,             0.74181,             0.57607,             0.66081,             0.34397,            0.045829,           0.0081451,                   0,            0.003194,            0.003194,            0.003194
                   9,            0.036756,            0.015651,                   0,             0.69658,             0.55726,             0.62341,             0.32012,            0.045815,           0.0087223,                   0,           0.0031922,           0.0031922,           0.0031922
                  10,            0.035813,              0.0158,                   0,              0.6805,             0.61531,             0.65574,             0.33189,            0.044235,           0.0088185,                   0,           0.0031901,           0.0031901,           0.0031901
                  11,             0.03556,             0.01507,                   0,             0.77758,             0.59316,             0.68573,             0.35957,            0.045682,           0.0081148,                   0,           0.0031878,           0.0031878,           0.0031878
                  12,            0.034631,            0.015123,                   0,             0.78663,              0.6239,             0.70736,             0.37692,             0.04526,           0.0080712,                   0,           0.0031853,           0.0031853,           0.0031853
                  13,            0.034499,            0.015173,                   0,             0.73002,             0.63325,             0.69917,             0.37831,            0.045066,           0.0080389,                   0,           0.0031824,           0.0031824,           0.0031824
                  14,            0.034183,            0.014794,                   0,             0.71359,             0.70698,             0.73632,             0.39292,            0.042903,           0.0078814,                   0,           0.0031794,           0.0031794,           0.0031794
                  15,            0.033867,            0.014811,                   0,             0.69861,             0.63397,             0.67873,             0.36576,            0.046193,           0.0079914,                   0,           0.0031761,           0.0031761,           0.0031761
                  16,            0.033358,            0.014372,                   0,             0.73561,             0.65641,             0.70657,             0.36577,            0.044097,           0.0079533,                   0,           0.0031726,           0.0031726,           0.0031726
