               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09837,            0.022941,                   0,             0.16718,             0.20684,             0.10817,            0.035009,            0.081732,             0.01261,                   0,            0.001559,            0.001559,              0.0272
                   1,            0.064447,            0.022755,                   0,             0.38079,             0.43077,             0.32018,              0.1162,             0.06391,            0.010629,                   0,            0.003159,            0.003159,              0.0038
                   2,            0.051894,            0.019373,                   0,              0.4915,             0.46325,             0.42256,             0.14537,            0.057396,           0.0094965,                   0,           0.0031999,           0.0031999,           0.0031999
                   3,            0.045743,            0.017877,                   0,             0.54746,             0.56068,             0.52264,             0.21764,            0.052185,           0.0099961,                   0,           0.0031995,           0.0031995,           0.0031995
                   4,            0.041411,            0.017428,                   0,             0.70253,             0.54188,             0.60915,             0.29057,            0.047272,           0.0088786,                   0,           0.0031989,           0.0031989,           0.0031989
                   5,             0.04019,            0.016409,                   0,             0.66523,             0.60513,             0.64155,             0.30911,            0.047592,           0.0085488,                   0,           0.0031981,           0.0031981,           0.0031981
                   6,            0.038726,             0.01641,                   0,             0.66478,             0.65766,              0.6608,             0.31076,            0.046026,           0.0085743,                   0,            0.003197,            0.003197,            0.003197
                   7,            0.037759,            0.015566,                   0,             0.73718,             0.59316,             0.65093,              0.3152,            0.047556,           0.0081582,                   0,           0.0031956,           0.0031956,           0.0031956
                   8,            0.036507,            0.015762,                   0,             0.70845,             0.61538,             0.67501,               0.344,            0.045488,           0.0081892,                   0,            0.003194,            0.003194,            0.003194
                   9,            0.036475,            0.015487,                   0,             0.67813,             0.57778,             0.62271,             0.31733,             0.04692,           0.0084889,                   0,           0.0031922,           0.0031922,           0.0031922
                  10,            0.035325,            0.015532,                   0,             0.78839,             0.65641,             0.71813,             0.35059,            0.043841,           0.0079657,                   0,           0.0031901,           0.0031901,           0.0031901
                  11,            0.035275,            0.014907,                   0,             0.79556,             0.62529,             0.72535,             0.37527,             0.04248,           0.0082144,                   0,           0.0031878,           0.0031878,           0.0031878
                  12,            0.033748,            0.014773,                   0,             0.70947,             0.61364,             0.66729,             0.33869,            0.046594,           0.0082121,                   0,           0.0031853,           0.0031853,           0.0031853
                  13,            0.034209,            0.015016,                   0,             0.77137,             0.65299,             0.71108,             0.36244,            0.044017,           0.0079194,                   0,           0.0031824,           0.0031824,           0.0031824
                  14,            0.033835,            0.014569,                   0,             0.82826,             0.61368,             0.73011,             0.38115,            0.043604,           0.0081735,                   0,           0.0031794,           0.0031794,           0.0031794
                  15,            0.033168,            0.014664,                   0,             0.77615,              0.6579,             0.75162,             0.40341,            0.042129,            0.007734,                   0,           0.0031761,           0.0031761,           0.0031761
                  16,            0.032981,            0.014344,                   0,             0.79029,             0.61368,             0.72576,             0.38604,            0.042205,           0.0081882,                   0,           0.0031726,           0.0031726,           0.0031726
                  17,             0.03255,            0.014295,                   0,             0.78088,             0.66838,             0.74538,             0.38825,            0.042953,            0.007658,                   0,           0.0031688,           0.0031688,           0.0031688
                  18,            0.033008,            0.014326,                   0,             0.75803,             0.68011,             0.74597,             0.39928,            0.042211,           0.0079739,                   0,           0.0031648,           0.0031648,           0.0031648
                  19,            0.032356,            0.014256,                   0,             0.72569,             0.69231,             0.73729,               0.376,            0.041584,            0.007905,                   0,           0.0031606,           0.0031606,           0.0031606
                  20,            0.031662,            0.014446,                   0,             0.80396,             0.68889,              0.7705,             0.39496,            0.042243,           0.0076276,                   0,           0.0031561,           0.0031561,           0.0031561
                  21,            0.031454,            0.013952,                   0,             0.80123,             0.66837,             0.75576,             0.39648,            0.041114,           0.0077691,                   0,           0.0031513,           0.0031513,           0.0031513
                  22,            0.031602,             0.01428,                   0,             0.75751,             0.68889,             0.74079,             0.38797,            0.044636,            0.007626,                   0,           0.0031464,           0.0031464,           0.0031464
                  23,             0.03138,            0.013923,                   0,             0.75323,             0.68034,              0.7291,             0.40483,            0.042303,           0.0077855,                   0,           0.0031412,           0.0031412,           0.0031412
                  24,            0.030909,            0.014053,                   0,             0.79741,             0.65299,             0.75051,             0.41303,            0.041119,           0.0077567,                   0,           0.0031357,           0.0031357,           0.0031357
                  25,             0.03087,            0.013772,                   0,             0.77157,             0.72137,             0.77795,             0.42771,            0.041099,           0.0075526,                   0,           0.0031301,           0.0031301,           0.0031301
                  26,            0.030756,            0.013606,                   0,             0.80526,             0.62203,             0.72968,             0.40149,            0.041392,           0.0076961,                   0,           0.0031242,           0.0031242,           0.0031242
                  27,            0.030612,            0.013725,                   0,             0.83029,             0.65299,             0.75559,             0.42793,            0.041485,           0.0075144,                   0,            0.003118,            0.003118,            0.003118
                  28,             0.03022,            0.013548,                   0,             0.82603,             0.65812,             0.76183,             0.41478,            0.040565,           0.0075605,                   0,           0.0031117,           0.0031117,           0.0031117
                  29,            0.030712,            0.013523,                   0,             0.74995,             0.67179,             0.72362,             0.39355,            0.042196,           0.0081793,                   0,           0.0031051,           0.0031051,           0.0031051
                  30,            0.030525,            0.013558,                   0,             0.81547,             0.70253,             0.78435,             0.43237,            0.040076,           0.0073579,                   0,           0.0030983,           0.0030983,           0.0030983
                  31,            0.029931,            0.013603,                   0,             0.77922,             0.68173,             0.75823,             0.39006,            0.040794,           0.0077534,                   0,           0.0030912,           0.0030912,           0.0030912
                  32,            0.030147,            0.013709,                   0,             0.76194,             0.71672,              0.7785,             0.41419,            0.039562,           0.0075522,                   0,           0.0030839,           0.0030839,           0.0030839
                  33,            0.029985,            0.013789,                   0,             0.79401,             0.68526,             0.76811,             0.39802,            0.041647,           0.0075974,                   0,           0.0030764,           0.0030764,           0.0030764
                  34,            0.029751,            0.013578,                   0,             0.82309,             0.67692,             0.77373,             0.43103,             0.04161,           0.0074894,                   0,           0.0030687,           0.0030687,           0.0030687
                  35,            0.029383,            0.013402,                   0,             0.80612,              0.6752,             0.76973,             0.40577,             0.03997,           0.0078221,                   0,           0.0030608,           0.0030608,           0.0030608
                  36,            0.029386,            0.013393,                   0,             0.78937,             0.66625,             0.73813,             0.40622,            0.041323,           0.0077348,                   0,           0.0030526,           0.0030526,           0.0030526
                  37,            0.029495,             0.01354,                   0,             0.74903,             0.70427,             0.76148,              0.3946,            0.041401,           0.0079952,                   0,           0.0030442,           0.0030442,           0.0030442
                  38,             0.02876,            0.013373,                   0,             0.80903,             0.66667,              0.7517,             0.40332,            0.042618,           0.0075011,                   0,           0.0030356,           0.0030356,           0.0030356
                  39,            0.028878,            0.013176,                   0,              0.7818,              0.6921,             0.75364,             0.40273,            0.041325,           0.0077352,                   0,           0.0030268,           0.0030268,           0.0030268
                  40,            0.029077,            0.013292,                   0,             0.77778,             0.70085,             0.76139,             0.39761,            0.041299,           0.0077241,                   0,           0.0030177,           0.0030177,           0.0030177
                  41,             0.02927,            0.013114,                   0,             0.80888,             0.70898,             0.77556,             0.43401,            0.041732,           0.0074944,                   0,           0.0030085,           0.0030085,           0.0030085
                  42,            0.028953,            0.013295,                   0,             0.81068,             0.67521,             0.76366,             0.42268,             0.04273,           0.0075017,                   0,            0.002999,            0.002999,            0.002999
                  43,            0.028873,            0.012971,                   0,              0.7717,             0.71282,             0.77672,             0.40531,            0.041712,           0.0077073,                   0,           0.0029894,           0.0029894,           0.0029894
                  44,            0.028636,            0.012621,                   0,             0.77752,             0.68702,             0.75836,             0.42424,            0.042887,            0.007386,                   0,           0.0029795,           0.0029795,           0.0029795
                  45,            0.028557,             0.01277,                   0,             0.82801,             0.63419,             0.75388,             0.38906,            0.041704,           0.0080477,                   0,           0.0029694,           0.0029694,           0.0029694
                  46,            0.027752,            0.012971,                   0,             0.79934,             0.69573,             0.76706,              0.4008,            0.041158,           0.0077657,                   0,           0.0029591,           0.0029591,           0.0029591
                  47,            0.027801,            0.012999,                   0,             0.79498,             0.70922,             0.79156,             0.43136,            0.039785,           0.0074844,                   0,           0.0029486,           0.0029486,           0.0029486
                  48,             0.02748,            0.013019,                   0,              0.7977,             0.70598,             0.76553,             0.43513,            0.041506,           0.0074112,                   0,           0.0029379,           0.0029379,           0.0029379
                  49,            0.028703,            0.012733,                   0,             0.80394,             0.75699,             0.81716,             0.45045,             0.03988,           0.0071476,                   0,            0.002927,            0.002927,            0.002927
                  50,            0.027966,            0.012625,                   0,             0.79726,             0.70581,             0.78798,             0.42365,            0.040424,           0.0074456,                   0,           0.0029159,           0.0029159,           0.0029159
                  51,            0.027751,            0.012746,                   0,             0.84782,             0.69744,             0.77615,             0.42102,            0.040488,           0.0077706,                   0,           0.0029046,           0.0029046,           0.0029046
                  52,            0.027836,            0.012701,                   0,             0.82679,             0.75885,             0.81433,             0.43496,             0.03969,           0.0073505,                   0,           0.0028931,           0.0028931,           0.0028931
                  53,            0.027121,            0.012428,                   0,             0.79576,             0.74017,             0.80195,             0.43463,            0.039197,           0.0074095,                   0,           0.0028814,           0.0028814,           0.0028814
                  54,            0.027336,             0.01244,                   0,             0.79261,             0.73846,             0.79173,             0.42401,            0.040372,           0.0074271,                   0,           0.0028696,           0.0028696,           0.0028696
                  55,            0.027472,            0.012651,                   0,             0.85256,              0.6735,             0.77513,             0.43133,            0.040774,           0.0075997,                   0,           0.0028575,           0.0028575,           0.0028575
                  56,            0.027025,            0.012642,                   0,             0.78588,             0.74658,             0.80463,             0.43666,            0.040018,           0.0077345,                   0,           0.0028453,           0.0028453,           0.0028453
                  57,            0.027479,            0.012682,                   0,             0.83852,             0.73846,             0.80227,             0.43673,            0.039336,           0.0072235,                   0,           0.0028328,           0.0028328,           0.0028328
                  58,            0.027055,            0.012448,                   0,             0.84182,             0.70051,             0.78246,              0.4412,            0.041299,           0.0075501,                   0,           0.0028202,           0.0028202,           0.0028202
                  59,            0.027469,            0.012707,                   0,              0.7903,             0.74188,             0.80565,             0.44026,            0.039789,           0.0074952,                   0,           0.0028075,           0.0028075,           0.0028075
                  60,            0.027522,            0.012561,                   0,             0.82363,             0.67863,             0.78342,             0.44667,            0.039799,           0.0074806,                   0,           0.0027945,           0.0027945,           0.0027945
