               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10543,            0.019825,                   0,             0.15157,             0.18462,            0.085378,            0.017984,            0.087421,            0.011529,                   0,            0.001559,            0.001559,              0.0272
                   1,            0.073772,            0.019751,                   0,             0.48964,             0.37607,             0.36994,             0.12944,            0.070557,           0.0089779,                   0,            0.003159,            0.003159,              0.0038
                   2,            0.053436,             0.01838,                   0,             0.57119,             0.53162,             0.53174,             0.21396,            0.056887,           0.0088224,                   0,           0.0031999,           0.0031999,           0.0031999
                   3,            0.043833,            0.017124,                   0,             0.67684,             0.56239,             0.61136,             0.28446,            0.050097,           0.0084139,                   0,           0.0031995,           0.0031995,           0.0031995
                   4,            0.040284,            0.016255,                   0,             0.71676,             0.64022,             0.68937,             0.33196,            0.045406,           0.0083012,                   0,           0.0031989,           0.0031989,           0.0031989
                   5,            0.037064,            0.015739,                   0,             0.75518,              0.6802,             0.74002,             0.38079,             0.04358,           0.0082907,                   0,           0.0031981,           0.0031981,           0.0031981
                   6,            0.035565,            0.015301,                   0,             0.74913,             0.66496,             0.72589,             0.33666,            0.042777,           0.0080267,                   0,            0.003197,            0.003197,            0.003197
                   7,             0.03447,             0.01479,                   0,             0.76896,             0.68889,             0.75463,             0.36049,               0.042,           0.0079605,                   0,           0.0031956,           0.0031956,           0.0031956
                   8,            0.033916,            0.014401,                   0,             0.74585,             0.69231,             0.74279,             0.39057,            0.041996,           0.0077805,                   0,            0.003194,            0.003194,            0.003194
                   9,            0.032887,            0.014707,                   0,             0.76187,             0.72991,             0.76156,             0.40656,            0.041434,            0.007753,                   0,           0.0031922,           0.0031922,           0.0031922
                  10,            0.032338,            0.014511,                   0,             0.73074,             0.70085,             0.74765,             0.38836,            0.041109,           0.0077899,                   0,           0.0031901,           0.0031901,           0.0031901
                  11,            0.032151,            0.013936,                   0,             0.76743,             0.73328,             0.78002,             0.41977,            0.039103,           0.0076405,                   0,           0.0031878,           0.0031878,           0.0031878
                  12,            0.030953,            0.013772,                   0,              0.8378,             0.68889,             0.77867,             0.42409,            0.039422,           0.0076892,                   0,           0.0031853,           0.0031853,           0.0031853
                  13,            0.030528,            0.013342,                   0,              0.7832,              0.6547,             0.74784,             0.39963,             0.04098,           0.0078429,                   0,           0.0031824,           0.0031824,           0.0031824
                  14,            0.030737,            0.013408,                   0,             0.83027,             0.70256,              0.7969,             0.43425,             0.03899,           0.0074746,                   0,           0.0031794,           0.0031794,           0.0031794
                  15,            0.030148,            0.013644,                   0,             0.77939,             0.68847,             0.76106,             0.43199,            0.039612,           0.0076176,                   0,           0.0031761,           0.0031761,           0.0031761
                  16,            0.030302,            0.013352,                   0,              0.7836,             0.70598,             0.77483,             0.43649,            0.038322,           0.0076118,                   0,           0.0031726,           0.0031726,           0.0031726
                  17,            0.030159,            0.013235,                   0,             0.80001,             0.69231,             0.77113,             0.40396,            0.040373,           0.0079538,                   0,           0.0031688,           0.0031688,           0.0031688
                  18,            0.029276,            0.013034,                   0,             0.77882,             0.70424,              0.7647,               0.413,             0.03885,           0.0078321,                   0,           0.0031648,           0.0031648,           0.0031648
                  19,            0.029068,            0.012927,                   0,             0.77945,             0.73101,             0.79336,             0.44156,            0.037498,           0.0073494,                   0,           0.0031606,           0.0031606,           0.0031606
                  20,            0.029161,            0.012734,                   0,             0.83887,             0.68205,             0.78467,             0.45202,            0.038217,           0.0074444,                   0,           0.0031561,           0.0031561,           0.0031561
                  21,             0.02931,            0.012994,                   0,             0.81692,             0.74017,             0.80841,             0.43469,            0.039211,           0.0072743,                   0,           0.0031513,           0.0031513,           0.0031513
                  22,            0.027949,             0.01283,                   0,             0.76258,             0.74188,             0.79539,              0.4345,            0.038628,           0.0076676,                   0,           0.0031464,           0.0031464,           0.0031464
                  23,            0.027812,             0.01285,                   0,             0.82573,             0.74515,             0.81032,             0.44511,            0.038596,           0.0073369,                   0,           0.0031412,           0.0031412,           0.0031412
                  24,            0.027859,            0.012439,                   0,             0.83687,             0.73664,             0.80766,             0.44712,            0.038372,           0.0074335,                   0,           0.0031357,           0.0031357,           0.0031357
                  25,            0.027687,            0.012602,                   0,             0.81803,             0.72308,             0.80853,             0.43832,            0.037301,           0.0074907,                   0,           0.0031301,           0.0031301,           0.0031301
                  26,            0.027364,             0.01275,                   0,             0.78793,              0.7431,             0.80125,             0.45103,            0.038226,           0.0074367,                   0,           0.0031242,           0.0031242,           0.0031242
                  27,            0.027267,            0.012639,                   0,             0.80281,             0.73846,             0.80458,             0.46274,            0.038464,           0.0073622,                   0,            0.003118,            0.003118,            0.003118
                  28,            0.026686,            0.012329,                   0,             0.80491,             0.70598,             0.77304,             0.43778,            0.040281,            0.007695,                   0,           0.0031117,           0.0031117,           0.0031117
                  29,            0.027249,             0.01216,                   0,             0.79812,             0.75043,             0.80545,             0.46356,            0.037916,           0.0075951,                   0,           0.0031051,           0.0031051,           0.0031051
                  30,            0.027277,            0.012589,                   0,             0.82139,             0.75726,             0.81792,             0.45627,            0.037954,           0.0075343,                   0,           0.0030983,           0.0030983,           0.0030983
                  31,            0.026706,            0.012204,                   0,             0.84116,             0.72479,             0.80734,             0.45642,            0.038548,           0.0075512,                   0,           0.0030912,           0.0030912,           0.0030912
                  32,            0.026791,            0.012555,                   0,             0.84976,             0.74017,             0.81731,             0.45664,            0.038395,           0.0076084,                   0,           0.0030839,           0.0030839,           0.0030839
                  33,            0.026935,            0.012226,                   0,             0.80518,             0.74181,             0.80377,             0.46032,            0.037321,           0.0074089,                   0,           0.0030764,           0.0030764,           0.0030764
                  34,             0.02602,            0.011978,                   0,             0.85613,             0.72308,             0.80248,              0.4456,               0.038,           0.0075902,                   0,           0.0030687,           0.0030687,           0.0030687
                  35,            0.025959,            0.011814,                   0,             0.84272,             0.71441,             0.80491,             0.46904,            0.038047,           0.0074383,                   0,           0.0030608,           0.0030608,           0.0030608
                  36,            0.026384,            0.012027,                   0,             0.80229,             0.70058,             0.77541,             0.44424,             0.03925,            0.007828,                   0,           0.0030526,           0.0030526,           0.0030526
                  37,             0.02599,            0.012141,                   0,             0.80594,             0.76923,             0.80519,             0.46115,            0.038637,           0.0075952,                   0,           0.0030442,           0.0030442,           0.0030442
                  38,            0.025447,             0.01199,                   0,             0.82661,             0.72527,             0.80698,             0.45905,            0.037777,           0.0075581,                   0,           0.0030356,           0.0030356,           0.0030356
                  39,            0.025473,             0.01186,                   0,             0.80847,             0.79487,             0.83222,             0.47739,            0.037962,           0.0071637,                   0,           0.0030268,           0.0030268,           0.0030268
                  40,            0.025286,            0.011896,                   0,             0.78894,             0.76068,             0.80708,             0.44607,            0.038322,           0.0076017,                   0,           0.0030177,           0.0030177,           0.0030177
                  41,            0.025565,            0.011742,                   0,             0.83968,             0.75205,             0.82019,             0.46166,            0.037611,           0.0074821,                   0,           0.0030085,           0.0030085,           0.0030085
                  42,             0.02591,            0.011861,                   0,             0.82673,             0.69402,             0.77218,             0.45341,            0.038335,           0.0077725,                   0,            0.002999,            0.002999,            0.002999
                  43,            0.025656,             0.01183,                   0,             0.85842,             0.75897,              0.8151,               0.465,            0.037572,           0.0074293,                   0,           0.0029894,           0.0029894,           0.0029894
