               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098832,            0.022347,                   0,            0.034295,            0.066667,           0.0084829,            0.001417,            0.090798,            0.012063,                   0,            0.001559,            0.001559,              0.0272
                   1,            0.071218,            0.026093,                   0,              0.1013,             0.12991,            0.037491,           0.0088554,            0.086587,            0.011358,                   0,            0.003159,            0.003159,              0.0038
                   2,            0.057443,             0.02376,                   0,             0.22542,               0.294,             0.14063,            0.044588,            0.071255,            0.011121,                   0,           0.0031999,           0.0031999,           0.0031999
                   3,            0.049888,             0.02128,                   0,             0.27916,             0.18462,             0.13213,            0.052103,             0.08336,            0.012428,                   0,           0.0031995,           0.0031995,           0.0031995
                   4,            0.046197,            0.019981,                   0,             0.54724,             0.41322,             0.44229,             0.19751,            0.054987,            0.010144,                   0,           0.0031989,           0.0031989,           0.0031989
                   5,            0.042613,            0.018874,                   0,             0.70248,             0.43077,              0.5157,             0.25641,            0.051317,           0.0096816,                   0,           0.0031981,           0.0031981,           0.0031981
                   6,            0.040478,            0.018198,                   0,             0.61976,             0.53846,             0.54615,             0.26234,            0.047568,           0.0095819,                   0,            0.003197,            0.003197,            0.003197
                   7,            0.039278,            0.017476,                   0,             0.62121,             0.53504,             0.56672,             0.26481,            0.048723,           0.0089866,                   0,           0.0031956,           0.0031956,           0.0031956
                   8,            0.038119,             0.01706,                   0,             0.64565,             0.58291,             0.61915,             0.32397,            0.045457,            0.008678,                   0,            0.003194,            0.003194,            0.003194
                   9,            0.037029,            0.017153,                   0,             0.62628,             0.57949,             0.60394,             0.30423,            0.045741,            0.009278,                   0,           0.0031922,           0.0031922,           0.0031922
                  10,             0.03578,            0.016689,                   0,             0.66095,             0.61315,             0.65593,             0.33826,            0.044582,           0.0084204,                   0,           0.0031901,           0.0031901,           0.0031901
                  11,            0.035609,            0.016174,                   0,             0.71635,             0.59658,             0.66971,             0.35484,            0.044021,           0.0083056,                   0,           0.0031878,           0.0031878,           0.0031878
                  12,            0.034152,            0.015775,                   0,             0.77631,             0.62885,             0.70138,             0.37077,            0.042452,           0.0083447,                   0,           0.0031853,           0.0031853,           0.0031853
                  13,            0.033951,            0.015528,                   0,             0.69819,             0.62564,             0.68337,               0.354,            0.042466,           0.0084757,                   0,           0.0031824,           0.0031824,           0.0031824
                  14,            0.033466,            0.015336,                   0,             0.72592,             0.66154,             0.71089,             0.36768,             0.04273,           0.0080717,                   0,           0.0031794,           0.0031794,           0.0031794
                  15,            0.033196,            0.015534,                   0,             0.73431,             0.66614,             0.72656,             0.39046,            0.041672,           0.0080372,                   0,           0.0031761,           0.0031761,           0.0031761
                  16,            0.032988,             0.01537,                   0,             0.73102,             0.65983,             0.72032,             0.38995,            0.041293,           0.0080585,                   0,           0.0031726,           0.0031726,           0.0031726
                  17,            0.032354,            0.014963,                   0,             0.82439,              0.6188,             0.72853,             0.38438,            0.042612,           0.0079195,                   0,           0.0031688,           0.0031688,           0.0031688
                  18,            0.032053,            0.014729,                   0,             0.78284,             0.67863,              0.7547,             0.41225,             0.04133,           0.0076777,                   0,           0.0031648,           0.0031648,           0.0031648
                  19,            0.031732,            0.014736,                   0,             0.75778,             0.70427,             0.74159,             0.39667,            0.039649,            0.007945,                   0,           0.0031606,           0.0031606,           0.0031606
                  20,            0.031882,             0.01437,                   0,             0.75311,             0.70598,             0.74577,             0.42167,            0.041492,            0.007589,                   0,           0.0031561,           0.0031561,           0.0031561
                  21,            0.031841,            0.014648,                   0,             0.81744,              0.6359,             0.74536,              0.4105,            0.040904,           0.0076255,                   0,           0.0031513,           0.0031513,           0.0031513
                  22,            0.030661,            0.014573,                   0,             0.77832,             0.67863,             0.74953,             0.41982,            0.040441,            0.007525,                   0,           0.0031464,           0.0031464,           0.0031464
                  23,            0.030296,            0.014453,                   0,             0.80238,             0.68712,              0.7568,             0.43562,            0.040281,           0.0077007,                   0,           0.0031412,           0.0031412,           0.0031412
                  24,            0.029955,            0.014068,                   0,             0.79063,             0.70769,             0.76986,             0.43953,            0.039939,            0.007462,                   0,           0.0031357,           0.0031357,           0.0031357
                  25,            0.030133,            0.014175,                   0,              0.8106,             0.72479,             0.79354,             0.43924,            0.038582,           0.0073956,                   0,           0.0031301,           0.0031301,           0.0031301
                  26,            0.029713,            0.014293,                   0,             0.77333,             0.74701,             0.78915,             0.42622,            0.039307,           0.0074521,                   0,           0.0031242,           0.0031242,           0.0031242
                  27,            0.029409,            0.013997,                   0,             0.77474,             0.71282,              0.7679,             0.43972,            0.039855,           0.0074632,                   0,            0.003118,            0.003118,            0.003118
                  28,            0.029135,            0.013813,                   0,              0.8274,             0.69915,             0.78695,             0.44775,            0.038141,           0.0075515,                   0,           0.0031117,           0.0031117,           0.0031117
                  29,            0.029404,            0.013495,                   0,             0.83267,             0.70769,             0.78266,             0.44784,            0.039216,           0.0074496,                   0,           0.0031051,           0.0031051,           0.0031051
                  30,            0.029373,            0.014104,                   0,             0.81332,             0.70752,             0.78466,             0.44817,            0.039247,           0.0073354,                   0,           0.0030983,           0.0030983,           0.0030983
                  31,            0.028977,            0.013591,                   0,             0.81756,             0.72991,             0.79227,             0.45049,            0.039471,           0.0074474,                   0,           0.0030912,           0.0030912,           0.0030912
                  32,            0.028449,            0.013672,                   0,             0.84175,             0.70923,             0.79473,             0.46321,            0.038798,           0.0073554,                   0,           0.0030839,           0.0030839,           0.0030839
                  33,            0.028691,             0.01356,                   0,             0.79833,             0.69915,             0.77241,             0.43039,            0.040166,           0.0074355,                   0,           0.0030764,           0.0030764,           0.0030764
                  34,            0.028098,            0.013355,                   0,             0.83736,             0.69525,             0.78225,             0.42694,            0.039648,           0.0075223,                   0,           0.0030687,           0.0030687,           0.0030687
                  35,             0.02779,            0.013091,                   0,             0.77831,             0.77436,             0.81503,             0.45935,            0.038707,           0.0070557,                   0,           0.0030608,           0.0030608,           0.0030608
                  36,            0.028122,            0.013266,                   0,              0.8252,             0.72627,             0.80025,              0.4636,            0.038674,           0.0072625,                   0,           0.0030526,           0.0030526,           0.0030526
                  37,            0.027673,            0.013226,                   0,             0.80851,             0.74359,              0.7929,             0.42649,            0.039198,           0.0073903,                   0,           0.0030442,           0.0030442,           0.0030442
                  38,            0.026938,            0.013322,                   0,             0.87268,             0.73846,             0.82019,             0.46879,            0.038101,           0.0071376,                   0,           0.0030356,           0.0030356,           0.0030356
