               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093522,            0.023247,                   0,            0.033312,             0.11111,            0.010474,           0.0020132,            0.087798,            0.012424,                   0,           0.0032479,           0.0032479,            0.070769
                   1,            0.065697,            0.025393,                   0,             0.17733,             0.27521,             0.10943,            0.028481,            0.075643,            0.013281,                   0,           0.0065812,           0.0065812,            0.040769
                   2,            0.056236,             0.02243,                   0,             0.12862,              0.2906,             0.06669,            0.017966,            0.074559,            0.015702,                   0,           0.0099145,           0.0099145,            0.010769
                   3,            0.050741,            0.020713,                   0,             0.30588,             0.30085,             0.20973,            0.079554,            0.064505,            0.013913,                   0,           0.0099997,           0.0099997,           0.0099997
                   4,            0.046173,            0.019369,                   0,              0.5517,             0.31624,             0.33888,             0.13244,            0.060562,            0.010554,                   0,           0.0099986,           0.0099986,           0.0099986
                   5,            0.043048,            0.018518,                   0,             0.57051,             0.42689,             0.45776,             0.22397,            0.053799,            0.010529,                   0,           0.0099969,           0.0099969,           0.0099969
                   6,            0.040649,            0.018084,                   0,              0.5487,             0.49573,              0.4946,             0.23041,            0.048164,            0.010723,                   0,           0.0099945,           0.0099945,           0.0099945
                   7,            0.039544,            0.017424,                   0,             0.63295,             0.45812,             0.53765,             0.24476,            0.048957,           0.0093341,                   0,           0.0099913,           0.0099913,           0.0099913
                   8,            0.038515,            0.017136,                   0,             0.64435,             0.49573,             0.54995,             0.27039,            0.049895,           0.0098105,                   0,           0.0099875,           0.0099875,           0.0099875
                   9,            0.037359,            0.017179,                   0,             0.60537,             0.52821,             0.55157,             0.27954,            0.048999,           0.0091611,                   0,           0.0099829,           0.0099829,           0.0099829
                  10,            0.036204,            0.017041,                   0,             0.66924,             0.55338,             0.61343,             0.30342,            0.046547,           0.0087624,                   0,           0.0099777,           0.0099777,           0.0099777
                  11,            0.035719,            0.016144,                   0,             0.75401,             0.55556,             0.65659,             0.33506,            0.044951,           0.0082997,                   0,           0.0099717,           0.0099717,           0.0099717
                  12,            0.034634,            0.015945,                   0,             0.77227,             0.57436,             0.66403,             0.33328,            0.045327,           0.0083905,                   0,           0.0099651,           0.0099651,           0.0099651
                  13,            0.034159,            0.015501,                   0,             0.68796,             0.58803,             0.64737,             0.31854,            0.045885,           0.0085501,                   0,           0.0099578,           0.0099578,           0.0099578
