               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093844,            0.023183,                   0,            0.065418,              0.1265,            0.021503,           0.0037198,            0.088258,            0.012517,                   0,           0.0032479,           0.0032479,            0.070769
                   1,            0.066235,            0.025518,                   0,             0.19613,             0.14188,            0.069291,            0.016012,            0.080334,             0.01183,                   0,           0.0065593,           0.0065593,            0.040747
                   2,            0.056049,            0.022186,                   0,             0.24518,             0.35043,             0.16044,            0.051489,            0.065027,            0.013514,                   0,           0.0098484,           0.0098484,            0.010703
                   3,            0.049796,            0.020522,                   0,             0.32278,             0.33322,             0.25674,            0.087778,             0.06322,            0.014819,                   0,              0.0099,              0.0099,              0.0099
                   4,             0.04623,            0.019255,                   0,             0.58674,             0.38632,             0.41225,             0.16603,            0.057293,            0.011128,                   0,              0.0099,              0.0099,              0.0099
                   5,            0.043247,            0.018605,                   0,             0.39958,             0.27692,              0.2659,             0.11462,            0.062736,            0.012195,                   0,           0.0098667,           0.0098667,           0.0098667
                   6,            0.041496,            0.018206,                   0,             0.35928,             0.33644,             0.28153,             0.11063,            0.058763,            0.011649,                   0,           0.0098333,           0.0098333,           0.0098333
                   7,            0.040704,             0.01759,                   0,             0.62188,             0.49573,             0.53191,             0.25324,            0.048617,           0.0095936,                   0,              0.0098,              0.0098,              0.0098
                   8,            0.039482,            0.017212,                   0,             0.60714,             0.49744,             0.53884,             0.26984,            0.048607,           0.0097872,                   0,           0.0097667,           0.0097667,           0.0097667
                   9,            0.038699,            0.017454,                   0,             0.66817,              0.4991,             0.55476,             0.25749,            0.048753,           0.0098277,                   0,           0.0097333,           0.0097333,           0.0097333
                  10,            0.037676,            0.017148,                   0,             0.71896,             0.53504,             0.62688,             0.32695,            0.045754,           0.0086309,                   0,              0.0097,              0.0097,              0.0097
                  11,            0.037458,            0.016452,                   0,             0.67528,             0.62222,             0.64908,             0.33245,             0.04502,           0.0084344,                   0,           0.0096667,           0.0096667,           0.0096667
                  12,            0.035883,            0.016226,                   0,              0.6813,              0.6066,             0.63263,             0.32138,             0.04589,           0.0085498,                   0,           0.0096333,           0.0096333,           0.0096333
                  13,            0.035391,            0.015721,                   0,             0.78275,             0.56068,             0.66582,             0.33075,            0.044776,           0.0082877,                   0,              0.0096,              0.0096,              0.0096
                  14,            0.035607,            0.015639,                   0,             0.69558,             0.62886,             0.65775,             0.32493,            0.045788,           0.0083665,                   0,           0.0095667,           0.0095667,           0.0095667
                  15,            0.035143,             0.01597,                   0,             0.75782,              0.6098,             0.68011,             0.36507,            0.044572,           0.0083208,                   0,           0.0095333,           0.0095333,           0.0095333
                  16,            0.034821,            0.015699,                   0,             0.76665,             0.62906,             0.71071,             0.37551,            0.043044,           0.0081295,                   0,              0.0095,              0.0095,              0.0095
                  17,            0.034076,            0.015407,                   0,             0.72817,             0.63761,             0.68394,             0.35426,            0.045422,            0.008218,                   0,           0.0094667,           0.0094667,           0.0094667
                  18,            0.034244,            0.015215,                   0,             0.75472,             0.60171,             0.67924,             0.34058,            0.043765,           0.0081189,                   0,           0.0094333,           0.0094333,           0.0094333
                  19,            0.033561,            0.015213,                   0,             0.71591,             0.62906,             0.69518,             0.37352,            0.042361,            0.008053,                   0,              0.0094,              0.0094,              0.0094
                  20,            0.033892,            0.014899,                   0,             0.74389,             0.64546,             0.71523,             0.39001,            0.042297,            0.007959,                   0,           0.0093667,           0.0093667,           0.0093667
                  21,            0.033578,            0.015083,                   0,             0.76991,             0.59485,             0.67521,              0.3524,            0.044633,           0.0082186,                   0,           0.0093333,           0.0093333,           0.0093333
                  22,            0.032805,             0.01496,                   0,             0.71846,             0.66496,             0.71144,             0.38783,             0.04248,           0.0080366,                   0,              0.0093,              0.0093,              0.0093
