               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.058258,           0.0060937,                   0,           0.0059176,             0.26496,           0.0027613,           0.0004043,            0.074418,           0.0018049,                   0,            0.000288,            0.000288,            0.045788
                   1,            0.043587,           0.0070713,                   0,             0.09093,            0.099145,            0.017714,           0.0039413,            0.065144,           0.0025161,                   0,          0.00060622,          0.00060622,            0.041106
                   2,             0.03871,           0.0072178,                   0,            0.023196,             0.10256,           0.0073886,           0.0013563,            0.061829,           0.0028426,                   0,          0.00092256,          0.00092256,            0.036423
                   3,            0.034832,           0.0071074,                   0,            0.073286,            0.094017,            0.019833,           0.0030312,            0.054562,           0.0027818,                   0,            0.001237,            0.001237,            0.031737
                   4,            0.034669,           0.0064333,                   0,            0.031472,             0.14436,            0.013367,           0.0023228,             0.05066,           0.0039246,                   0,           0.0015496,           0.0015496,             0.02705
                   5,            0.032016,           0.0060566,                   0,             0.13424,             0.19145,            0.069457,            0.020462,            0.045747,           0.0063052,                   0,           0.0018603,           0.0018603,             0.02236
                   6,            0.031666,           0.0056233,                   0,             0.21495,             0.15726,             0.09148,            0.021694,            0.044589,           0.0047395,                   0,           0.0021691,           0.0021691,            0.017669
                   7,            0.030368,           0.0056585,                   0,             0.23274,             0.27009,             0.14624,            0.043696,            0.039594,           0.0059463,                   0,           0.0024761,           0.0024761,            0.012976
                   8,            0.030284,           0.0054213,                   0,             0.32243,             0.23761,             0.20029,            0.073831,            0.038828,           0.0067841,                   0,           0.0027812,           0.0027812,           0.0082812
                   9,            0.029746,            0.005337,                   0,              0.3133,             0.28889,             0.19769,            0.077374,            0.038717,           0.0030758,                   0,           0.0030844,           0.0030844,           0.0035844
                  10,            0.029015,           0.0053118,                   0,             0.39133,             0.20661,             0.18329,            0.058632,            0.044434,           0.0029301,                   0,           0.0031061,           0.0031061,           0.0031061
                  11,            0.028564,           0.0050283,                   0,              0.3811,             0.34017,             0.25075,            0.093338,            0.036982,           0.0032018,                   0,           0.0031061,           0.0031061,           0.0031061
                  12,            0.028552,           0.0050716,                   0,             0.39919,             0.27521,              0.2403,             0.09236,            0.035258,           0.0030382,                   0,           0.0030967,           0.0030967,           0.0030967
                  13,             0.02766,           0.0051498,                   0,             0.44609,             0.29744,             0.28445,             0.12896,             0.03677,           0.0028548,                   0,           0.0030874,           0.0030874,           0.0030874
                  14,            0.026476,           0.0049262,                   0,             0.37185,             0.38462,             0.29051,             0.10968,            0.033485,           0.0028076,                   0,            0.003078,            0.003078,            0.003078
                  15,            0.026377,           0.0049013,                   0,             0.58634,             0.42906,             0.46847,             0.20922,            0.029722,            0.002311,                   0,           0.0030686,           0.0030686,           0.0030686
                  16,            0.026261,           0.0048919,                   0,             0.43574,             0.31945,             0.31039,             0.12856,            0.033666,           0.0026601,                   0,           0.0030592,           0.0030592,           0.0030592
                  17,            0.025604,           0.0048247,                   0,             0.49882,             0.42735,             0.41751,             0.18813,            0.029162,           0.0023612,                   0,           0.0030498,           0.0030498,           0.0030498
                  18,            0.025588,           0.0048169,                   0,              0.5468,             0.35556,             0.40042,             0.17262,            0.030832,           0.0021991,                   0,           0.0030404,           0.0030404,           0.0030404
                  19,            0.025656,           0.0048272,                   0,             0.47401,             0.40855,             0.38926,             0.17826,            0.032154,           0.0022816,                   0,            0.003031,            0.003031,            0.003031
                  20,            0.025403,           0.0046818,                   0,             0.52064,             0.42888,             0.43661,             0.20089,             0.03006,           0.0022044,                   0,           0.0030217,           0.0030217,           0.0030217
                  21,            0.025207,           0.0047039,                   0,             0.40442,             0.39487,             0.34834,             0.14728,            0.030432,           0.0022275,                   0,           0.0030123,           0.0030123,           0.0030123
                  22,            0.025252,           0.0046529,                   0,              0.6945,             0.42564,             0.50386,             0.21742,            0.030571,           0.0021258,                   0,           0.0030029,           0.0030029,           0.0030029
                  23,            0.024756,           0.0047694,                   0,             0.49885,             0.47473,             0.44237,              0.2022,            0.028256,           0.0022805,                   0,           0.0029935,           0.0029935,           0.0029935
                  24,            0.024698,           0.0045518,                   0,             0.62776,             0.53162,             0.55932,             0.26696,            0.027933,           0.0020252,                   0,           0.0029841,           0.0029841,           0.0029841
                  25,            0.024615,           0.0046442,                   0,             0.53567,             0.39487,             0.42212,             0.21088,            0.029146,           0.0022899,                   0,           0.0029747,           0.0029747,           0.0029747
                  26,            0.024411,           0.0046075,                   0,             0.41536,             0.38803,             0.35382,             0.16283,            0.028424,           0.0025261,                   0,           0.0029653,           0.0029653,           0.0029653
                  27,            0.024277,           0.0046269,                   0,             0.49962,             0.46937,             0.42492,             0.19932,            0.027184,           0.0023885,                   0,           0.0029559,           0.0029559,           0.0029559
                  28,            0.024061,           0.0046904,                   0,             0.34357,              0.3534,             0.28999,             0.13331,            0.029018,           0.0026397,                   0,           0.0029466,           0.0029466,           0.0029466
                  29,             0.02447,           0.0045583,                   0,             0.49482,             0.50598,             0.47577,             0.20944,            0.028901,           0.0021201,                   0,           0.0029372,           0.0029372,           0.0029372
                  30,            0.024232,           0.0044825,                   0,             0.63557,             0.49191,              0.5377,             0.27498,            0.026832,           0.0020171,                   0,           0.0029278,           0.0029278,           0.0029278
                  31,            0.024103,           0.0046662,                   0,              0.4633,             0.45983,             0.43762,              0.1891,            0.027795,           0.0022308,                   0,           0.0029184,           0.0029184,           0.0029184
                  32,            0.024217,           0.0046351,                   0,             0.66779,             0.50427,             0.56064,             0.28715,            0.027318,           0.0019481,                   0,            0.002909,            0.002909,            0.002909
                  33,            0.023529,           0.0044097,                   0,             0.50855,             0.49573,             0.49063,             0.23372,            0.026886,            0.002079,                   0,           0.0028996,           0.0028996,           0.0028996
                  34,            0.023821,           0.0044686,                   0,             0.53413,             0.44881,             0.42286,             0.19594,             0.03025,           0.0021641,                   0,           0.0028902,           0.0028902,           0.0028902
                  35,            0.023212,           0.0044692,                   0,             0.40568,              0.4906,             0.40669,             0.20361,            0.028046,           0.0022396,                   0,           0.0028809,           0.0028809,           0.0028809
                  36,            0.023209,           0.0044414,                   0,             0.56779,             0.42051,             0.48625,              0.2257,            0.027919,           0.0020134,                   0,           0.0028715,           0.0028715,           0.0028715
                  37,            0.023779,           0.0045758,                   0,              0.5374,             0.50256,             0.50134,             0.25445,            0.027183,           0.0022403,                   0,           0.0028621,           0.0028621,           0.0028621
                  38,            0.023374,           0.0044031,                   0,             0.58655,             0.49229,             0.51625,             0.23547,            0.027328,           0.0024032,                   0,           0.0028527,           0.0028527,           0.0028527
                  39,            0.023374,            0.004559,                   0,             0.64293,             0.49573,             0.54428,              0.2714,            0.026778,           0.0020243,                   0,           0.0028433,           0.0028433,           0.0028433
                  40,            0.023058,           0.0044898,                   0,             0.54739,             0.46928,             0.49803,              0.2363,            0.027883,            0.002181,                   0,           0.0028339,           0.0028339,           0.0028339
                  41,            0.023266,            0.004381,                   0,             0.60205,             0.44615,             0.46973,             0.21594,            0.029263,           0.0024008,                   0,           0.0028245,           0.0028245,           0.0028245
                  42,            0.023269,           0.0044834,                   0,             0.62927,             0.57778,             0.60042,             0.30203,            0.026772,           0.0019697,                   0,           0.0028151,           0.0028151,           0.0028151
                  43,            0.022844,           0.0043004,                   0,             0.66753,             0.54359,             0.58898,             0.30069,            0.026249,           0.0019539,                   0,           0.0028058,           0.0028058,           0.0028058
                  44,            0.023216,           0.0043367,                   0,             0.54955,             0.48889,              0.5051,              0.2255,            0.028479,           0.0020778,                   0,           0.0027964,           0.0027964,           0.0027964
                  45,            0.023476,           0.0043785,                   0,             0.60973,             0.53147,             0.55049,             0.28629,            0.026131,           0.0019669,                   0,            0.002787,            0.002787,            0.002787
                  46,             0.02252,           0.0044503,                   0,             0.57171,             0.44103,              0.4552,              0.2061,            0.027338,            0.002581,                   0,           0.0027776,           0.0027776,           0.0027776
                  47,            0.022636,           0.0044594,                   0,             0.57257,             0.49744,              0.5164,             0.24643,            0.026841,           0.0021249,                   0,           0.0027682,           0.0027682,           0.0027682
                  48,            0.022996,           0.0044923,                   0,              0.5373,             0.54017,             0.53079,             0.26689,            0.026374,           0.0021866,                   0,           0.0027588,           0.0027588,           0.0027588
                  49,            0.022485,           0.0043062,                   0,             0.65654,             0.48718,             0.56412,             0.29101,            0.025532,           0.0019806,                   0,           0.0027494,           0.0027494,           0.0027494
                  50,            0.022628,           0.0044469,                   0,             0.64318,             0.55154,             0.58709,              0.2942,            0.026801,           0.0019777,                   0,           0.0027401,           0.0027401,           0.0027401
                  51,            0.022375,           0.0042662,                   0,             0.62211,             0.62564,             0.62281,             0.31781,            0.026385,           0.0019062,                   0,           0.0027307,           0.0027307,           0.0027307
                  52,            0.022652,           0.0044415,                   0,             0.70114,             0.64103,             0.68317,             0.34536,             0.02581,           0.0018328,                   0,           0.0027213,           0.0027213,           0.0027213
                  53,             0.02297,           0.0044519,                   0,             0.68873,             0.63542,             0.67124,             0.33804,            0.025669,           0.0018759,                   0,           0.0027119,           0.0027119,           0.0027119
                  54,            0.023007,            0.004268,                   0,             0.64625,             0.50598,             0.56279,             0.28281,            0.026384,           0.0019565,                   0,           0.0027025,           0.0027025,           0.0027025
                  55,            0.022567,           0.0043085,                   0,             0.67028,             0.58728,             0.63265,             0.32045,            0.026414,           0.0019142,                   0,           0.0026931,           0.0026931,           0.0026931
                  56,             0.02215,            0.004318,                   0,             0.59205,             0.54331,             0.56053,               0.261,            0.027679,           0.0021145,                   0,           0.0026837,           0.0026837,           0.0026837
                  57,            0.022238,           0.0042178,                   0,             0.72037,             0.63248,             0.67837,             0.32733,            0.025612,           0.0019245,                   0,           0.0026743,           0.0026743,           0.0026743
                  58,            0.021724,           0.0043761,                   0,             0.61779,             0.56581,               0.598,             0.29827,            0.025634,           0.0018969,                   0,            0.002665,            0.002665,            0.002665
                  59,             0.02212,           0.0043152,                   0,             0.68475,             0.43419,             0.52306,             0.26812,             0.02625,           0.0020696,                   0,           0.0026556,           0.0026556,           0.0026556
                  60,            0.022209,           0.0044817,                   0,              0.7111,             0.54698,             0.61583,             0.31502,            0.025999,           0.0019377,                   0,           0.0026462,           0.0026462,           0.0026462
                  61,            0.022592,           0.0043885,                   0,             0.71548,             0.48205,             0.57455,             0.28497,            0.026377,           0.0019828,                   0,           0.0026368,           0.0026368,           0.0026368
                  62,            0.021889,           0.0043592,                   0,             0.65006,             0.51442,             0.56539,             0.28216,            0.026439,            0.001941,                   0,           0.0026274,           0.0026274,           0.0026274
                  63,            0.021596,           0.0043058,                   0,             0.66318,             0.49231,              0.5569,             0.28094,             0.02626,           0.0019677,                   0,            0.002618,            0.002618,            0.002618
                  64,            0.022067,           0.0043776,                   0,             0.71533,             0.53504,              0.6039,             0.30714,            0.026087,           0.0018603,                   0,           0.0026086,           0.0026086,           0.0026086
                  65,            0.022023,             0.00428,                   0,             0.78162,             0.44052,             0.55854,             0.27118,            0.027262,            0.001947,                   0,           0.0025993,           0.0025993,           0.0025993
                  66,             0.02232,           0.0042831,                   0,             0.66816,             0.57949,             0.61216,             0.29941,            0.025735,           0.0019413,                   0,           0.0025899,           0.0025899,           0.0025899
                  67,            0.021807,           0.0043386,                   0,             0.63093,                 0.6,             0.62671,             0.31379,            0.025761,           0.0019016,                   0,           0.0025805,           0.0025805,           0.0025805
                  68,             0.02173,           0.0043094,                   0,              0.7527,             0.59313,             0.68003,             0.34564,            0.024963,           0.0018591,                   0,           0.0025711,           0.0025711,           0.0025711
                  69,            0.022046,            0.004254,                   0,             0.63168,             0.59316,             0.62851,             0.31309,            0.025414,           0.0019491,                   0,           0.0025617,           0.0025617,           0.0025617
                  70,            0.022199,           0.0042723,                   0,             0.66799,             0.56403,             0.60768,             0.30645,            0.025779,           0.0019746,                   0,           0.0025523,           0.0025523,           0.0025523
                  71,            0.021626,           0.0042432,                   0,             0.57367,             0.51453,             0.52363,             0.25975,            0.025402,           0.0021021,                   0,           0.0025429,           0.0025429,           0.0025429
                  72,            0.021859,           0.0044261,                   0,              0.6747,             0.60272,             0.63271,             0.32392,            0.025683,            0.001929,                   0,           0.0025335,           0.0025335,           0.0025335
                  73,            0.021955,           0.0044289,                   0,             0.67773,             0.61368,             0.65909,             0.31828,            0.025689,           0.0018374,                   0,           0.0025242,           0.0025242,           0.0025242
                  74,            0.021338,           0.0041536,                   0,             0.67798,             0.50026,             0.57049,             0.28601,            0.026063,           0.0020331,                   0,           0.0025148,           0.0025148,           0.0025148
                  75,            0.021823,            0.004321,                   0,             0.60079,             0.55385,             0.57004,             0.28189,             0.02565,           0.0019514,                   0,           0.0025054,           0.0025054,           0.0025054
